"COLUMN_NAME"	"SAMPLE_TYPE"	"LABEL"	"LEGAL_VALUES"
"AG_ECO3"	"DESIGN"	"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"	"EHIGH|PLNLOW|WMTNS"
"AG_ECO3"	"DESIGN"	"NARS 3-level reporting region (2015), based on aggregating AG_ECO9 reporting regions.   No missing or \"blank\" values allowed."	"EHIGH|PLNLOW|WMTNS |"
"AG_ECO3_NM"	"DESIGN"	"NARS 3-level reporting region Name"	"Text names"
"AG_ECO3_NM"	"DESIGN"	"NARS 3-level reporting region name.  No missing or \"blank\" values allowed."	"Eastern Highlands | Plains and Lowlands | West |"
"AG_ECO9"	"DESIGN"	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"	"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER"
"AG_ECO9"	"DESIGN"	"NARS 9-level reporting region, based on aggregated Omernik Level III ecoregions.  No missing or \"blank\" values allowed."	"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER |"
"AG_ECO9_NM"	"DESIGN"	"NARS 9-level reporting region Name"	"Text names"
"AG_ECO9_NM"	"DESIGN"	"NARS 9-level reporting region name.  No missing or \"blank\" values allowed."	"Coastal Plains | Northern Appalachians | Northern Plains | Southern Appalachians | Southern Plains | Temperate Plains | Upper Midwest | Western Mountains | Xeric |"
"BORD_RIV"	"DESIGN"	"Reach occurs on state or country boundaries"	"Text of two postal codes: MM:NN where MM is one state and NN is other state the river is on the border. Blank if not a border river"
"BORD_RIV"	"DESIGN"	"State border river code.  For a border river, value is two postal codes: MM:NN, where MM is one state code and NN is other state code.  If not a border river, then value is \"Not_Border\".  No missing  or \"blank\" values allowed."	
"CNTYNAME"	"DESIGN"	"County name (source ESRI counties based on census 2010)"	"Text Names"
"CNTYNAME"	"DESIGN"	"County name (source ESRI counties based on census 2010).   No missing or \"blank\" values allowed."	
"COMID"	"DESIGN"	"NHD common identifier for NRSA sampling frame and subsequent designs."	"Numeric"
"COMID"	"DESIGN"	"NHDPlusV2 common identifier for NRSA sampling frame.  No missing values allowed but it is possible that a few lakes may not be in sample frame if from a state study or are hand-picked lakes.  In this case value is \"0\". No missing values allowed.  COMID used for NRSA0809 through NRSA18-19; No longer used in NRSA23-24 and NHDPlusHR."	
"DATE_COL"	"VERIF"	"Date of data collection in field"	
"DES_FTYPE"	"DESIGN"	"Design FTYPE created from FTYPE and other NHD-Plus features"	
"DES_FTYPE"	"DESIGN"	"NRSA design feature type (based on NHD feature type).   Generally,  no missing values allowed but it is possible that a few lakes may not be in sample frame if from a state study or are hand-picked lakes.  In this case value is \"None\". No missing or \"blank\" values allowed."	
"DSGN_CYCLE"	"DESIGN"		"2000-04| 2008-09|2013-14|2018-19|"
"ELEVATION"	"ASSESS"	"Elevation at Transect K"	
"ELEVATION"	"DESIGN"	"Elevation at Stream site  (LAT_DD83, LON_DD83) from USGS elevation point query service (30 m elevation) http://ned.usgs.gov/epqs/"	"Numeric; may legitimately be negative"
"ELEVATION"	"DESIGN"	"Elevation at Stream site  (LAT_DD83, LON_DD83) from USGS elevation point query service (30 m elevation) http://ned.usgs.gov/epqs/.  May legitimately be negative.  No missing or \"blank\" values allowed.  Unit: meters"	
"ELEVATION"	"VERIF"	"Elevation at Transect A"	
"EPA_REG"	"DESIGN"	"EPA Region"	"Region_1 |  Region_2 | Region_3 | Region_4 | Region_5 | Region_6 | Region_7 | Region_8 | Region_9 | Region_10"
"EPA_REG"	"DESIGN"	"EPA Region.   No missing or \"blank\" values allowed."	"Region_01 | Region_02 | Region_03 | Region_04 | Region_05 | Region_06 | Region_07 | Region_08 | Region_09 | Region_10 |"
"EVAL_CAT"	"DESIGN"	"NRSA site evaluation result. For hand-picked sites evaluation is Target_Sampled.   No missing or \"blank\" values allowed."	
"FCODE"	"DESIGN"	"NHD feature type code"	
"FCODE"	"DESIGN"	"NHD 5-digit code for feature type.   Generally,  no missing values allowed but it is possible that a few lakes may not be in sample frame if from a state study or are hand-picked lakes.  In this case value is \"0\". No missing or \"blank\" values allowed."	
"FED_NONFED"	"DESIGN"	"Federal or Non-Federal land, based on OWN_NARS. OWN_NARS in FWS, Other Fed, USFS, NPS, NOAA, BLM, DOD, BOR considered Federal and all others Non-Federal."	"Federal|Non-Federal"
"FEOW_ID"	"DESIGN"	"Freshwater Ecoregions of the World (2015) code"	"Numeric"
"FEOW_ID"	"DESIGN"	"Freshwater Ecoregions of the World (2015) code.   No missing or \"blank\" values allowed."	
"FRAME08"	"DESIGN"	"Stream reach is included or excluded from sample frame for the NRSA 2008-09 Target Population survey design.  No missing or \"blank\" values allowed."	"Exclude|Include| Not Present |"
"FRAME13"	"DESIGN"	"Stream reach is included or excluded from sample frame for the NRSA 2013-14 Target Population survey design.  No missing or \"blank\" values allowed."	"Exclude|Include| Not Present |"
"FRAME18"	"DESIGN"	"Stream reach is included or excluded from sample frame for the NRSA 2018-19 Target Population survey design.  No missing or \"blank\" values allowed."	"Exclude|Include |"
"FRAMEEW"	"DESIGN"	"Stream reach is included or excluded from sample frame for the EMAP West 2000-3 Target Population survey design.  No missing or \"blank\" values allowed."	"Exclude|Include| Not Present |"
"FRAMEWS"	"DESIGN"	"Stream reach is included or excluded from sample frame for the WSA 2004 Target Population survey design.  No missing or \"blank\" values allowed."	"Exclude|Include| Not Present |"
"FS_EW"	"DESIGN"	"Eastern or western US Forest Service land"	"East | West | blank if not US Forest Service land"
"FS_EW"	"DESIGN"	"Eastern or western US Forest Service land. Not_USFS if not US Forest Service land.  No missing or \"blank\" values allowed."	"East | West | Not_USFS |"
"FTYPE"	"DESIGN"	"HD feature type name"	
"FTYPE"	"DESIGN"	"NHD feature type.  Generally,  no missing values allowed but it is possible that a few lakes may not be in sample frame if from a state study or are hand-picked lakes.  In this case value is \"None\". No missing or \"blank\" values allowed."	
"GNIS_ID"	"DESIGN"	"Goegraphic Names Information System ID (from NHD)"	"Numeric"
"GNIS_ID"	"DESIGN"	"Goegraphic Names Information System ID (from NHD). If value is \"0\", then no GNIS_ID available.  . No missing or \"blank\" values allowed."	
"GNIS_NAME"	"DESIGN"	"USGS Geographic Names Information System name"	"Text name"
"GNIS_NAME"	"DESIGN"	"USGS Geographic Names Information System name (from NHD).   Value of \"None\" if no GNIS_NAME available.  . No missing or \"blank\" values allowed."	
"GNIS_NAME"	"LAND"	"Name of the stream reach that the site was snapped to from the NHDPlusV21."	
"HUC2"	"DESIGN"	"USGS Level 2 Hydrologic Unit Code where stream reach is located (based on NHDPlusV2 use of HUCs)"	"Alphanumeric: H01 to H20 with H03N :H 03S : H03W | H10L : H10U  where region coded preceded by letter H"
"HUC2"	"DESIGN"	"USGS Level 2 Hydrologic Unit Code where stream reach is located (based on NHDPlusV2 use of HUCs).   No missing or \"blank\" values allowed."	"H01|H02|H03N|H03S|H03W|H04|H05|H06|H07|H08|H09|H10L|H10U|H11|H12|H13|H14|H15|H16|H17|H18|H19|H20"
"HUC2_NM"	"DESIGN"	"USGS Level 2 Hydrologic Unit Region Name where stream reach is located (based on NHDPlusV2 use of HUCs).  No missing or \"blank\" values allowed."	"Arkansas-Red-White Region |California Region |Great Basin Region |Great Lakes Region |Lower Colorado Region |Lower Mississippi Region |\"Lower Missouri Region |Mid-Atlantic Region |New England Region |Ohio Region |Pacific Northwest Region |Rio Grande Region |Souris-Red-Rainy Region |South Atlantic-North Region |South Atlantic-South Region |South Atlantic-West Region |Tennessee Region |Texas Region |Upper Colorado Region |Upper Mississippi Region |Upper Missouri Region |"
"HUC8"	"DESIGN"	"USGS Level 8 Hydrologic Unit Code where stream reach is located (based on NHDPlusV2 use of HUCs)"	"Alphanumeric code; 8-digit preceded by letter H"
"HUC8"	"DESIGN"	"USGS Level 8 Hydrologic Unit Code where stream reach is located (based on NHDPlusV2 use of HUCs).  Eight-digit preceded by letter H. No missing or \"blank\" values allowed."	
"HUC8_NM"	"DESIGN"	"USGS Level 8 Hydrologic  Cataloging Unit Name where stream reach is located"	"Text"
"HUC8_NM"	"DESIGN"	"USGS Level 8 Hydrologic  Cataloging Unit Name where stream reach is located.  No missing or \"blank\" values allowed."	
"LAT_DD83"	"DESIGN"	"Latitude (based on NAD83 datum) for stream site  from NHD-based sample frame."	"Numeric"
"LAT_DD83"	"DESIGN"	"Latitude in decimal degrees (based on NAD83 datum) for stream site  from NHDPlusV2, i.e., \"design latitude.\".   No missing or \"blank\" values allowed."	
"LAT_DD83"	"LANDSCAPE"	"Latitude in decimal degrees NAD83"	
"LON_DD83"	"DESIGN"	"Longitude (based on NAD83 datum) for stream site  from NHD-based sample frame."	"Numeric"
"LON_DD83"	"DESIGN"	"Longitude in decimal degrees (based on NAD83 datum) for stream site  from NHDPlusV2, i.e., \"design longitude.\"   No missing or \"blank\" values allowed."	
"LON_DD83"	"LANDSCAPE"	"Longitude in decimal degrees NAD83"	
"MAJ_BAS_NM"	"DESIGN"	"Major USGS Hydrologic Basins derived from NHDPlus Names"	"Text of 16 basin names"
"MAJ_BAS_NM"	"DESIGN"	"Name of major USGS Hydrologic Basins derived from NHDPlus names.  No missing or \"blank\" values allowed."	"Arkansas-White-Red Region | California Region |  Great Basin Region | Great Lakes Region | Lower Colorado Region | Lower Mississippi Region | Mid Atlantic Region | Missouri Region | New England Region | Ohio-Tennessee Region | Pacific Northwest Region | Rio Grande-Texas-Gulf Region | Souris-Red-Rainy Region | South Atlantic Gulf Region | Upper Colorado Region | Upper Mississippi Region |"
"MAJ_BASIN"	"DESIGN"	"Major USGS Hydrologic Basins derived from NHDPlus Codes"	"16 Major Basin Codes from 01 to 18 with 05_06 and 12_13 combined preceeded by letter H"
"MAJ_BASIN"	"DESIGN"	"Major USGS Hydrologic Basins code derived from NHDPlus codes. Has leading \"H\" to preserve leading zeros.  No missing or \"blank\" values allowed."	"H01|H02|H03|H04|H05_06|H07|H08|H09|H10|H11|H12_13|H14|H15|H16|H17|H18"
"MAJ_RIV_NM"	"DESIGN"	"Name of major or additional river"	
