"COLUMN_NAME"	"LABEL"	"SAMPLE_TYPE"	"LEGAL_VALUES"
"AG_ECO9"	"NARS 9-level reporting region, based on aggregated Omernik Level III ecoregions.  No missing or \"blank\" values allowed."	"DESIGN"	"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER |"
"ANOM_CT"	"Total number of anomalies for taxon in sample"	"FISH"	
"DATE_COL"	"Date of data collection in field"	"VERIF"	
"EPA_REG"	"EPA Region.   No missing or \"blank\" values allowed."	"DESIGN"	"Region_01 | Region_02 | Region_03 | Region_04 | Region_05 | Region_06 | Region_07 | Region_08 | Region_09 | Region_10 |"
"FINAL_NAME"	"Final common name assigned to fish count data"	"TAXA: Vertebrate"	
"IS_DISTINCT"	"Distinctness of taxon within sample"	"FISH"	"0|1"
"NON_NATIVE"	"Non-native status (Y/N)"	"FISH"	"N|Y"
"NON_NATIVE"	"Non-native to the HUC where sample was collected"	"FISH"	
"PUBLICATION_DATE"	"Date of data file publication"		
"SITE_ID"	"Site ID"	"VERIF"	
"STATE"	"State of site"	"VERIF"	
"TAXA_ID"	"Taxonomic ID number"		
"TOTAL"	"Total number of individuals for taxon in sample"	"FISH"	
"UID"	"Unique site visit ID"		
"VISIT_NO"	"Number identifying which visit this is"	"VERIF"	"|1|2"
