"SAMPLE_TYPE"	"PARAMETER"	"DESCRIPTION"	"LEGAL_VALUES"	"RANGE_LOW"	"RANGE_HIGH"
"COLUMN"	"CHLA_BATCH_ID"	"Lab batch id - Chlorophyll-a as ug/L in water sample"			
"COLUMN"	"LAB"	"Laboratory processing sample"			
"COLUMN"	"MATRIX"	"Material used for analysis"			
"COLUMN"	"PCHL_NOT_COLLECTED"	"Periphyton chlorophyll a sample not collected"			
"COLUMN"	"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"			
"COLUMN"	"RESULT"	"Value of associated parameter"			
"COLUMN"	"RESULT_UNITS"	"Result unit"			
"COLUMN"	"RESULT_VOL_UNITS"	"Units for result by volume (ug/L)"			
"COLUMN"	"SAM_CODE"	"Sample code (Regular/Lab duplicate/Lab split)"			
"COLUMN"	"UID"	"Unique identifier for the site/visit"			
"DESIGN"	"AG_ECO9"	"NARS 9-level reporting region, based on aggregated Omernik Level III ecoregions.  No missing or \"blank\" values allowed."			
"DESIGN"	"EPA_REG"	"EPA Region.   No missing or \"blank\" values allowed."			
"DESIGN"	"SITE_ID"	"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999.  No missing or \"blank\" values allowed."			
"PCHL"	"DATE_ANALYZED"	"Date sample analyzed"			
"PCHL"	"DATE_RECEIVED"	"Date sample received"			
"PCHL"	"LAB_SAMPLE_ID"	"Laboratory Sample ID"			
"PCHL"	"MDL"	"Minimum Detection Limit"			
"PCHL"	"NARS_FLAG"	"NARS Flag"			
"PCHL"	"RESULT"	"Result"			
"PCHL"	"RESULT_VOL"	"Result by volume, before correcting for area sampled"			
"PCHL"	"RL"	"Reporting Limit, units varying"			
"PCHL"	"VOLUME_FILTERED"	"Volume filtered"			
"VERIF"	"DATE_COL"	"Date collected"	"|01|02|03|04|05|06|07|08|09|10|11|12"		
"VERIF"	"SITE_ID"	"Identification code for site"			
"VERIF"	"STATE"	"State"	"|AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY"		
"VERIF"	"VISIT_NO"	"Sequential number of visit to site"	"|1|2|R"		
