"SAMPLE_TYPE"	"PARAMETER"	"DESCRIPTION"	"RANGE_LOW"	"RANGE_HIGH"	"LEGAL_VALUES"
"COLUMN"	"ANALYTE"	"Analyte"			
"COLUMN"	"BATCH_ID"	"Laboratory Batch ID"			
"PBIO"	"DATE_ANALYZED"	"Date sample analyzed"			
"VERIF"	"DATE_COL"	"Date of data collection in field"			
"PBIO"	"DATE_RECEIVED"	"Date sample received"			
"PBIO"	"EXTRACT"	"Amount in extract"			
"PBIO"	"HOLDING_TIME"	"Holding time"			
"COLUMN"	"LAB"	"Laboratory processing sample"			
"PBIO"	"LAB_SAMPLE_ID"	"Laboratory Sample ID"			
"COLUMN"	"MATRIX"	"Type of sample (e.g., water, sediment, tissue)"			
"PBIO"	"MDL"	"Minimum Detection Limit"			
"PBIO"	"NARS_FLAG"	"NARS flag"			
"PBIO"	"NOT_COLLECTED"	"Periphyton Biomass (PBIO) sample not collected"			
"COLUMN"	"PUBLICATION_DATE"	"Date of data file publication"			
"PBIO"	"QA_FLAG"	"QA flag from laboratory"			
"COLUMN"	"RESULT"	"Value of associated parameter"			
"PBIO"	"RESULT"	"Result"			
"PBIO"	"RESULT_VOL"	"Result by volume, before correcting for area sampled"			
"PBIO"	"RL"	"Reporting Limit, units varying"			
"COLUMN"	"SAM_CODE"	"Sample code (e.g., regular, lab duplicate, lab split)"			
"PBIO"	"SAMPLE_ID"	"Field sample ID"			
"PBIO"	"SAMPLE_ID"	"Periphyton Biomass (PBIO) sample id"			
"COLUMN"	"SAMPLE_TYPE"	"Code identifying sample type: MICX=Microcystin, CYLSPER=Cylindrospermopsin, MICZ=Microcystin in legacy bottle type"			
"VERIF"	"SITE_ID"	"Site ID"			
"DESIGN"	"SITE_ID"	"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999.  No missing or \"blank\" values allowed."			
"COLUMN"	"STATE"	"State of site"			
"VERIF"	"STATE"	"State of site"			
"COLUMN"	"UID"	"Unique site visit ID"			
"COLUMN"	"UNIQUE_ID"	"Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. No missing values allowed."			
"VERIF"	"VISIT_NO"	"Number identifying which visit this is"			"|1|2"
"PBIO"	"VOLUME_FILTERED"	"Volume of water filtered"			
