UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,STATE,AG_ECO9,EPA_REG,SAMPLE_TYPE,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,RESULT,RESULT_UNITS,RL,MDL,ABSORBANCE,ABSORBANCE_UNITS,DATE_RECEIVED,DATE_ANALYZED,CONDITION_CODE,ANALYST,DILUTION_FACTOR,KIT_ID,NARS_FLAG
2014737,4/28/2021,NRS18_OK_10062,6/20/2018,1,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JuneX5,892506,,ug/L,0.1,0.05,1.322,Std. Units,7/20/2018,12/27/2018,ok,KH,,JuneX5,ND
2014737,4/28/2021,NRS18_OK_10062,6/20/2018,1,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JuneX5,892506,,ug/L,0.15,0.1,1.302,Std. Units,7/20/2018,12/27/2018,ok,KH,,JuneX5,ND
2014737,4/28/2021,NRS18_OK_10062,6/20/2018,1,OK,SPL,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JuneZ4,892507,,ug/L,0.15,0.1,1.104,Std. Units,7/20/2018,2/4/2019,ok,KH,,JuneZ4,ND
2012488,4/28/2021,NRS18_OK_10431,6/25/2018,1,OK,TPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JuneX1,893246,,ug/L,0.1,0.05,1.198,Std. Units,7/31/2018,12/26/2018,ok,KH,,JuneX1,ND
2012488,4/28/2021,NRS18_OK_10431,6/25/2018,1,OK,TPL,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JuneX1,893246,,ug/L,0.15,0.1,1.177,Std. Units,7/31/2018,12/24/2018,ok,KH,,JuneX1,ND
2012488,4/28/2021,NRS18_OK_10431,6/25/2018,1,OK,TPL,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JuneZ4,893247,,ug/L,0.15,0.1,1.024,Std. Units,7/31/2018,2/4/2019,ok,KH,,JuneZ4,ND
2012489,4/28/2021,NRS18_OK_10025,7/2/2018,1,OK,CPL,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX2,886026,,ug/L,0.15,0.1,1.316,Std. Units,7/31/2018,1/28/2019,ok,KH,,JulyX2,ND
2012489,4/28/2021,NRS18_OK_10025,7/2/2018,1,OK,CPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX2,886026,,ug/L,0.1,0.05,1.306,Std. Units,7/31/2018,1/28/2019,ok,KH,,JulyX2,ND
2012489,4/28/2021,NRS18_OK_10025,7/2/2018,1,OK,CPL,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ4,886027,,ug/L,0.15,0.1,1.12,Std. Units,7/31/2018,2/6/2019,ok,KH,,JulyZ4,ND
2012490,4/28/2021,NRS18_WI_10091,7/2/2018,1,WI,TPL,Region_05,MICX,WSLOH,WATER,REGULAR,MICX,Mcyst_Plate_1,892126,,ug/L,0.15,0.1,1.61,Std. Units,7/3/2018,10/30/2018,ok,D. Perkins,,18J7970,ND
2012490,4/28/2021,NRS18_WI_10091,7/2/2018,1,WI,TPL,Region_05,MICX,WSLOH,WATER,REGULAR,CYLSPER,Cylindro_Plate_1,892126,,ug/L,0.1,0.05,1.302,Std. Units,7/3/2018,10/30/2018,ok,D. Perkins,1,18I7751,ND
2012490,4/28/2021,NRS18_WI_10091,7/2/2018,1,WI,TPL,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ7,892127,,ug/L,0.15,0.1,1.181,Std. Units,7/31/2018,2/7/2019,ok,KH,,JulyZ7,ND
2012491,4/28/2021,NRS18_WI_10006,7/12/2018,1,WI,UMW,Region_05,MICX,WSLOH,WATER,REGULAR,MICX,Mcyst_Plate_1,892226,,ug/L,0.15,0.1,1.602,Std. Units,7/13/2018,10/30/2018,ok,D. Perkins,,18J7970,ND
2012491,4/28/2021,NRS18_WI_10006,7/12/2018,1,WI,UMW,Region_05,MICX,WSLOH,WATER,REGULAR,CYLSPER,Cylindro_Plate_1,892226,,ug/L,0.1,0.05,1.313,Std. Units,7/13/2018,10/30/2018,ok,D. Perkins,1,18I7751,ND
2012491,4/28/2021,NRS18_WI_10006,7/12/2018,1,WI,UMW,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ1,892227,,ug/L,0.15,0.1,1.552,Std. Units,8/21/2018,3/20/2019,ok,KH,,JulyZ1,ND
2012492,4/28/2021,NRS18_OK_10001,7/16/2018,2,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX2,106746,,ug/L,0.15,0.1,1.153,Std. Units,8/10/2018,1/28/2019,ok,KH,,JulyX2,ND
2012492,4/28/2021,NRS18_OK_10001,7/16/2018,2,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX2,106746,,ug/L,0.1,0.05,1.261,Std. Units,8/10/2018,1/28/2019,ok,KH,,JulyX2,ND
2012492,4/28/2021,NRS18_OK_10001,7/16/2018,2,OK,SPL,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ2,106747,,ug/L,0.15,0.1,1.046,Std. Units,8/10/2018,2/5/2019,ok,KH,,JulyZ2,ND
2012493,4/28/2021,NRS18_OK_11085,7/16/2018,1,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX6,893266,,ug/L,0.15,0.1,1.127,Std. Units,8/10/2018,1/31/2019,ok,KH,,JulyX6,ND
2012493,4/28/2021,NRS18_OK_11085,7/16/2018,1,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX6,893266,,ug/L,0.1,0.05,1.001,Std. Units,8/10/2018,1/31/2019,ok,KH,,JulyX6,ND
2012493,4/28/2021,NRS18_OK_11085,7/16/2018,1,OK,SPL,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ2,893267,,ug/L,0.15,0.1,1.052,Std. Units,8/10/2018,2/5/2019,ok,KH,,JulyZ2,ND
2012494,4/28/2021,NRS18_WI_10053,7/16/2018,1,WI,UMW,Region_05,MICX,WSLOH,WATER,REGULAR,MICX,Mcyst_Plate_1,892366,,ug/L,0.15,0.1,1.729,Std. Units,7/17/2018,10/30/2018,ok,D. Perkins,,18J7970,ND
2012494,4/28/2021,NRS18_WI_10053,7/16/2018,1,WI,UMW,Region_05,MICX,WSLOH,WATER,REGULAR,CYLSPER,Cylindro_Plate_1,892366,,ug/L,0.1,0.05,1.356,Std. Units,7/17/2018,10/30/2018,ok,D. Perkins,1,18I7751,ND
2012494,4/28/2021,NRS18_WI_10053,7/16/2018,1,WI,UMW,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ1,892367,,ug/L,0.15,0.1,1.317,Std. Units,8/21/2018,3/20/2019,ok,KH,,JulyZ1,ND
2012495,4/28/2021,NRS18_OK_10053,7/17/2018,1,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX5,106786,,ug/L,0.15,0.1,0.966,Std. Units,8/10/2018,1/30/2019,ok,KH,,JulyX5,ND
2012495,4/28/2021,NRS18_OK_10053,7/17/2018,1,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX5,106786,,ug/L,0.1,0.05,0.946,Std. Units,8/10/2018,1/30/2019,ok,KH,,JulyX5,ND
2012495,4/28/2021,NRS18_OK_10053,7/17/2018,1,OK,SPL,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ7,106787,,ug/L,0.15,0.1,1.065,Std. Units,8/10/2018,2/7/2019,ok,KH,,JulyZ7,ND
2012496,4/28/2021,NRS18_OK_10050,7/17/2018,2,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX2,893306,,ug/L,0.1,0.05,1.32,Std. Units,8/21/2018,1/28/2019,ok,KH,,JulyX2,ND
2012496,4/28/2021,NRS18_OK_10050,7/17/2018,2,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX2,893306,0.133,ug/L,0.15,0.1,0.932,Std. Units,8/21/2018,1/28/2019,ok,KH,,JulyX2,L
2012496,4/28/2021,NRS18_OK_10050,7/17/2018,2,OK,SPL,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ6,893307,,ug/L,0.15,0.1,1.048,Std. Units,8/10/2018,2/6/2019,ok,KH,,JulyZ6,ND
2012497,4/28/2021,NRS18_WI_10036,7/17/2018,1,WI,UMW,Region_05,MICX,WSLOH,WATER,REGULAR,CYLSPER,Cylindro_Plate_1,892006,,ug/L,0.1,0.05,1.336,Std. Units,7/18/2018,10/30/2018,ok,D. Perkins,1,18I7751,ND
2012497,4/28/2021,NRS18_WI_10036,7/17/2018,1,WI,UMW,Region_05,MICX,WSLOH,WATER,REGULAR,MICX,Mcyst_Plate_1,892006,0.164,ug/L,0.15,0.1,1.33,Std. Units,7/18/2018,10/30/2018,ok,D. Perkins,,18J7970,L
2012497,4/28/2021,NRS18_WI_10036,7/17/2018,1,WI,UMW,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ7,892007,,ug/L,0.15,0.1,1.79,Std. Units,9/7/2018,2/7/2019,ok,KH,,JulyZ7,ND
2012498,4/28/2021,NRS18_WI_10038,7/18/2018,1,WI,TPL,Region_05,MICX,WSLOH,WATER,REGULAR,MICX,Mcyst_Plate_1,892246,0.164,ug/L,0.15,0.1,1.33,Std. Units,7/19/2018,10/30/2018,ok,D. Perkins,,18J7970,
2012498,4/28/2021,NRS18_WI_10038,7/18/2018,1,WI,TPL,Region_05,MICX,WSLOH,WATER,REGULAR,CYLSPER,Cylindro_Plate_1,892246,,ug/L,0.1,0.05,1.327,Std. Units,7/19/2018,10/30/2018,ok,D. Perkins,1,18I7751,ND
2012498,4/28/2021,NRS18_WI_10038,7/18/2018,1,WI,TPL,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ6,892247,,ug/L,0.15,0.1,1.105,Std. Units,8/22/2018,2/6/2019,ok,KH,,JulyZ6,ND
2012499,4/28/2021,NRS18_WI_10019,7/19/2018,1,WI,UMW,Region_05,MICX,WSLOH,WATER,REGULAR,CYLSPER,Cylindro_Plate_1,892206,,ug/L,0.1,0.05,1.31,Std. Units,7/20/2018,10/30/2018,ok,D. Perkins,1,18I7751,ND
2012499,4/28/2021,NRS18_WI_10019,7/19/2018,1,WI,UMW,Region_05,MICX,WSLOH,WATER,REGULAR,MICX,Mcyst_Plate_1,892206,,ug/L,0.15,0.1,1.632,Std. Units,7/20/2018,10/30/2018,ok,D. Perkins,,18J7970,ND
2012499,4/28/2021,NRS18_WI_10019,7/19/2018,1,WI,UMW,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ5,892207,,ug/L,0.15,0.1,1.128,Std. Units,8/21/2018,2/6/2019,ok,KH,,JulyZ5,ND
2012500,4/28/2021,NRS18_NC_10014,7/19/2018,1,NC,SAP,Region_04,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX6,892946,,ug/L,0.1,0.05,1.037,Std. Units,8/10/2018,1/31/2019,ok,KH,,JulyX6,ND
2012500,4/28/2021,NRS18_NC_10014,7/19/2018,1,NC,SAP,Region_04,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX6,892946,,ug/L,0.15,0.1,1.091,Std. Units,8/10/2018,1/31/2019,ok,KH,,JulyX6,ND
2012500,4/28/2021,NRS18_NC_10014,7/19/2018,1,NC,SAP,Region_04,MICZ,NCDEQ,WATER,REGULAR,MICZ,7262018,892947,,ug/L,0.15,0.1,1.472,Std. Units,7/20/2018,7/26/2018,OK,AW,1,18S07CTS2,ND
2012501,4/28/2021,NRS18_OK_10023,7/23/2018,1,OK,SAP,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX2,106806,0.219,ug/L,0.15,0.1,0.841,Std. Units,8/21/2018,1/28/2019,ok,KH,,JulyX2,
2012501,4/28/2021,NRS18_OK_10023,7/23/2018,1,OK,SAP,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX2,106806,,ug/L,0.1,0.05,1.233,Std. Units,8/21/2018,1/28/2019,ok,KH,,JulyX2,ND
2012501,4/28/2021,NRS18_OK_10023,7/23/2018,1,OK,SAP,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ2,106807,,ug/L,0.15,0.1,1.058,Std. Units,8/10/2018,2/5/2019,ok,KH,,JulyZ2,ND
2012502,4/28/2021,NRS18_OK_10029,7/24/2018,1,OK,CPL,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX6,893326,,ug/L,0.15,0.1,1.179,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX6,ND
2012502,4/28/2021,NRS18_OK_10029,7/24/2018,1,OK,CPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX6,893326,,ug/L,0.1,0.05,1.049,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX6,ND
2012502,4/28/2021,NRS18_OK_10029,7/24/2018,1,OK,CPL,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ2,893327,,ug/L,0.15,0.1,1.012,Std. Units,8/10/2018,2/5/2019,ok,KH,,JulyZ2,ND
2012503,4/28/2021,NRS18_OK_10018,8/28/2018,1,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,AugX3,892406,,ug/L,0.1,0.05,0.84,Std. Units,10/22/2018,2/11/2019,ok,KH,,AugX3,ND
2012503,4/28/2021,NRS18_OK_10018,8/28/2018,1,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,AugX3,892406,0.155,ug/L,0.15,0.1,1.299,Std. Units,10/22/2018,2/11/2019,ok,KH,,AugX3,L
2012503,4/28/2021,NRS18_OK_10018,8/28/2018,1,OK,SPL,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,AugZ1,892407,,ug/L,0.15,0.1,1.013,Std. Units,10/12/2018,2/7/2019,ok,KH,,AugZ1,ND
2012504,4/28/2021,NRS18_OK_10022,9/4/2018,2,OK,CPL,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,SeptX4,892746,,ug/L,0.15,0.1,1.444,Std. Units,10/22/2018,2/20/2019,ok,KH,,SeptX4,ND
2012504,4/28/2021,NRS18_OK_10022,9/4/2018,2,OK,CPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,SeptX4,892746,,ug/L,0.1,0.05,1.208,Std. Units,10/22/2018,2/20/2019,ok,KH,,SeptX4,ND
2012504,4/28/2021,NRS18_OK_10022,9/4/2018,2,OK,CPL,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,SeptZ4,892747,,ug/L,0.15,0.1,1.457,Std. Units,10/12/2018,2/18/2019,ok,KH,,SeptZ4,ND
2012505,4/28/2021,NRS18_DE_10002,9/5/2018,1,DE,CPL,Region_03,MICX,EnviroScience,WATER,REGULAR,MICX,SeptX3,109946,0.167,ug/L,0.15,0.1,1.178,Std. Units,11/9/2018,2/20/2019,ok,KH,,SeptX3,
2012505,4/28/2021,NRS18_DE_10002,9/5/2018,1,DE,CPL,Region_03,MICX,EnviroScience,WATER,REGULAR,CYLSPER,SeptX3,109946,,ug/L,0.1,0.05,1.164,Std. Units,11/9/2018,2/20/2019,ok,KH,,SeptX3,ND
2012505,4/28/2021,NRS18_DE_10002,9/5/2018,1,DE,CPL,Region_03,MICZ,EnviroScience,WATER,REGULAR,MICZ,SeptZ1,109947,0.159,ug/L,0.15,0.1,1.382,Std. Units,10/26/2018,2/14/2019,ok,KH,,SeptZ1,
2012506,4/28/2021,NRS18_OK_10003,9/10/2018,1,OK,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,SeptX3,892466,0.093,ug/L,0.1,0.05,0.963,Std. Units,10/22/2018,2/20/2019,ok,KH,,SeptX3,L
