"SAMPLE_TYPE"	"PARAMETER"	"DESCRIPTION"	"RANGE_LOW"	"RANGE_HIGH"	"LEGAL_VALUES"
"MICX"	"ABSORBANCE"	"Absorbance value 
"			
"COLUMN"	"ABSORBANCE_UNITS"	"Units for parameter ABSORBANCE"			
"DESIGN"	"AG_ECO9"	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"			
"MICX"	"ANALYST"	"Laboratory analyst"			
"COLUMN"	"ANALYTE"	"Analyte"			
"COLUMN"	"BATCH_ID"	"Laboratory batch number"			
"COLUMN"	"BATCH_ID"	"Laboratory Batch ID"			
"MICX"	"CONDITION_CODE"	"Condition of sample code"			
"MICX"	"DATE_ANALYZED"	"Date sample analyzed"			
"VERIF"	"DATE_COL"	"Date collected"			"|01|02|03|04|05|06|07|08|09|10|11|12"
"MICX"	"DATE_RECEIVED"	"Date sample received by lab"			
"MICX"	"DILUTION_FACTOR"	"Dilution factor"			
"DESIGN"	"EPA_REG"	"EPA Region"			
"MICX"	"KIT_ID"	"Kit identification code. If one does not exist, assign a unique code to each kit. 
"			
"COLUMN"	"LAB"	"Laboratory processing sample"			
"COLUMN"	"MATRIX"	"Material used for analysis"			
"COLUMN"	"MATRIX"	"Type of sample (e.g., water, sediment, tissue)"			
"MICX"	"MDL"	"Minimum Detection Limit"			
"MICX"	"NARS_FLAG"	"NARS flag"			
"COLUMN"	"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"			
"COLUMN"	"PUBLICATION_DATE"	"Date of data file publication"			
"COLUMN"	"RESULT"	"Value of associated parameter"			
"COLUMN"	"RESULT_UNITS"	"Result unit"			
"MICX"	"RL"	"Reporting Limit"			
"COLUMN"	"SAM_CODE"	"Sample code (Regular/Lab duplicate/Lab split)"			
"COLUMN"	"SAM_CODE"	"Sample code (e.g., regular, lab duplicate, lab split)"			
"MICX"	"SAMPLE_ID"	"Algal toxin (MICZ) sample id"			
"MICZ"	"SAMPLE_ID"	"Algal toxin (MICZ) sample id"			
"COLUMN"	"SAMPLE_TYPE"	"Code identifying sample type: MICX=Microcystin, CYLSPER=Cylindrospermopsin, MICZ=Microcystin in legacy bottle type"			
"VERIF"	"SITE_ID"	"Identification code for site"			
"DESIGN"	"SITE_ID"	"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text.  No missing values allowed."			
"COLUMN"	"STATE"	"State of site"			
"VERIF"	"STATE"	"State"			"|AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY"
"COLUMN"	"UID"	"Unique identifier for the site/visit"			
"COLUMN"	"UID"	"Unique site visit ID"			
"VERIF"	"VISIT_NO"	"Sequential number of visit to site"			"|1|2|R"
