"SAMPLE_TYPE"	"COLUMN_NAME"	"LABEL"	"LEGAL_VALUES"	"RANGE_LOW"	"RANGE_HIGH"
"DESIGN"	"AG_ECO9"	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"	"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|"		
"TAXA: Invertebrates"	"CLASS"	"Class of taxon"			
"VERIF"	"DATE_COL"	"Date collected"	"|01|02|03|04|05|06|07|08|09|10|11|12"		
"DESIGN"	"EPA_REG"	"EPA Region"	"Region_01|Region_02|Region_03|Region_04|Region_05|Region_06|Region_07|Region_08|Region_09|Region_10|"		
"TAXA: Invertebrates"	"FAMILY"	"Family of taxon"			
"TAXA: Invertebrates"	"FFG"	"Functional feeding group used in metric calculations;Collector-filterer(CF),Collector-gatherer(CG),Parasite(PA),Piercer(PI),Scraper(SC),Shredder(SH)"			
"TAXA: Invertebrates"	"GENUS"	"Genus of taxon"			
"TAXA: Invertebrates"	"HABIT"	"Habit used in metric calculations;Burrower(BU),Climber(CB),Clinger(CN),Diver(DV),Planktonic(PK),Skater(SK),Sprawler(SP),Swimmer(SW)"			
"BERW"	"IS_DISTINCT"	"Distinctness of taxon within sample"	"0|1"		
"BETB"	"IS_DISTINCT"	"Distinctness of taxon within sample"	"0|1"		
"BERW"	"IS_DISTINCT300"	"Distinctness in 300 organism subsample"	"0|1"		
"BETB"	"IS_DISTINCT300"	"Distinctness in 300 organism subsample"	"0|1"		
"TAXA: Invertebrates"	"NON_TARGET"	"Operational taxon unit for NRSA O/E"			
"TAXA: Invertebrates"	"ORDER"	"Order of taxon"			
"TAXA: Invertebrates"	"PHYLUM"	"Phylum of taxon"			
"TAXA: Invertebrates"	"PTV"	"Pollution tolerance value as assigned for NWSA"			
	"SAMPLE_TYPE"	"Code identifying sample type"			
"VERIF"	"SITE_ID"	"Identification code for site"			
"DESIGN"	"SITE_ID"	"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text.  No missing values allowed."			
"VERIF"	"SITESAMP"	"Did you sample this site (Y/N)"	"|Y|N"		
"VERIF"	"STATE"	"State"	"|AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY"		
"TAXA: Invertebrates"	"SUBFAMILY"	"Subfamily of taxon"			
"BENT"	"TARGET_TAXON"	"Taxaname at target hierarchical taxonomic level"			
	"TAXA_ID"	"NLA Taxon ID number"			
"BENT"	"TOTAL"	"Total number of individuals counted"			
"BERW"	"TOTAL"	"Total number of individuals sorted for given taxon"			
"BETB"	"TOTAL"	"Total number of individuals sorted for given taxon"			
"BERW"	"TOTAL300"	"Total of given taxon using subsampling.exe for 300 organism subsample"			
"BETB"	"TOTAL300"	"Total of given taxon using subsampling.exe for 300 organism subsample"			
"TAXA: Invertebrates"	"TRIBE"	"Tribe of taxon"			
	"UID"	"Unique identifier for the site/visit"			
	"UNIQUE_ID"	"Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. No missing values allowed."			
"VERIF"	"VISIT_NO"	"Sequential number of visit to site"	"|1|2|R"		
