PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,AG_ECO9,EPA_REG,STATE,SAMPLE_TYPE,FLAG,CAL_INST_ID,CAL_INST_MODEL,COND_STD1_DESC,COND_STD1_VALUE,COND_STD2_DESC,COND_STD2_VALUE,CONDUCTIVITY,CORRECTED,DO,DO_CALIBRATION_UNITS,DO_CALIBRATION_VALUE,DO_DISPLAYED_UNITS,DO_DISPLAYED_VALUE,DO_ELEVATION,DO_PRESSURE,FIELD_MEASUREMENT_REVIEW,LOCATION,OTH_LOCATION,PH,PH_STD1_DESC,PH_STD1_VALUE,PH_STD2_DESC,PH_STD2_VALUE,TEMP_SENSOR,TEMP_THERMOMETER,TEMPERATURE,TIME
1/26/2021,2014737,NRS18_OK_10062,6/20/2018,1,SPL,Region_06,OK,CALIB,,17L101231,YSI,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014737,NRS18_OK_10062,6/20/2018,1,SPL,Region_06,OK,CALIB,COND_CALIBRATION_COMMENT,,,1000,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014737,NRS18_OK_10062,6/20/2018,1,SPL,Region_06,OK,CALIB,DO_CALIBRATION_COMMENT,,,,,,,,,,,,,,,702.2,,,,,,,,,,,,
1/26/2021,2014737,NRS18_OK_10062,6/20/2018,1,SPL,Region_06,OK,CALIB,PH_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,,7,,10,,,,
1/26/2021,2014737,NRS18_OK_10062,6/20/2018,1,SPL,Region_06,OK,CALIB,TEMP_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014737,NRS18_OK_10062,6/20/2018,1,SPL,Region_06,OK,FIELDMEAS,,,,,,,,637,Y,7.57,,,,,,,Y,X,,8.16,,,,,,,21,10:15
1/26/2021,2012488,NRS18_OK_10431,6/25/2018,1,TPL,Region_06,OK,CALIB,,17L101231,YSI Pro DSS,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2012488,NRS18_OK_10431,6/25/2018,1,TPL,Region_06,OK,CALIB,COND_CALIBRATION_COMMENT,,,,10000,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2012488,NRS18_OK_10431,6/25/2018,1,TPL,Region_06,OK,CALIB,DO_CALIBRATION_COMMENT,,,,,,,,,,PERCENT,97.1,PERCENT,97.1,,738.3,,,,,,,,,,,,
1/26/2021,2012488,NRS18_OK_10431,6/25/2018,1,TPL,Region_06,OK,CALIB,PH_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,,7,,10,,,,
1/26/2021,2012488,NRS18_OK_10431,6/25/2018,1,TPL,Region_06,OK,CALIB,TEMP_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,,,,,24.6,24.6,,
1/26/2021,2012488,NRS18_OK_10431,6/25/2018,1,TPL,Region_06,OK,FIELDMEAS,,,,,,,,951,Y,6.76,,,,,,,Y,X,,7.47,,,,,,,23.8,14:00
1/26/2021,2012489,NRS18_OK_10025,7/2/2018,1,CPL,Region_06,OK,CALIB,,06L1051AA,YSI,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2012489,NRS18_OK_10025,7/2/2018,1,CPL,Region_06,OK,CALIB,COND_CALIBRATION_COMMENT,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2012489,NRS18_OK_10025,7/2/2018,1,CPL,Region_06,OK,CALIB,DO_CALIBRATION_COMMENT,,,,,,,,,,PERCENT,98.9,PERCENT,98.9,,752,,,,,,,,,,,,
1/26/2021,2012489,NRS18_OK_10025,7/2/2018,1,CPL,Region_06,OK,CALIB,PH_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,7,7,10,10,,,,
1/26/2021,2012489,NRS18_OK_10025,7/2/2018,1,CPL,Region_06,OK,FIELDMEAS,,,,,,,,561,Y,7.7,,,,,,,,X,,7.91,,,,,,,27.92,13:02
1/26/2021,2012490,NRS18_WI_10091,7/2/2018,1,TPL,Region_05,WI,CALIB,,18e101074,YSI Pro Plus,,,,,,,,,,,,,,,,,,10.02,10.02,7.01,7.02,,,,
1/26/2021,2012490,NRS18_WI_10091,7/2/2018,1,TPL,Region_05,WI,CALIB,COND_CALIBRATION_COMMENT,,,1000,1006,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2012490,NRS18_WI_10091,7/2/2018,1,TPL,Region_05,WI,FIELDMEAS,,,,,,,,802,Y,9.15,,,,,,,Y,X,,7.52,,,,,,,16.5,9:32
1/26/2021,2012491,NRS18_WI_10006,7/12/2018,1,UMW,Region_05,WI,CALIB,,,YSI Pro Plus,1000,1001,,,,,,PERCENT,109.5,PERCENT,109.5,,741.9,,,,,10.05,10.06,7.02,7.02,18.7,,,
