SAMPLE_TYPE,PARAMETER,LABEL,LEGAL_VALUES
MICX,ABSORBANCE,Absorbance,
COLUMN,ABSORBANCE_UNITS,Units for parameter ABSORBANCE,
MICX,ANALYST,Laboratory analyst,
COLUMN,ANALYTE,Analyte,
COLUMN,BATCH_ID,Laboratory Batch ID,
MICX,CONDITION_CODE,Condition of sample code,
MICX,COND_COMMENT,Condition of sample on arrival at laboratory,
MICX,DATE_ANALYZED,Date sample analyzed,
VERIF,DATE_COL,Date of data collection in field,
MICX,DATE_RECEIVED,Date sample received,
MICX,DILUTION_FACTOR,Dilution factor,
MICX,KIT_ID,"Kit identification code. If one does not exist, assign a unique code to each kit. 
",
COLUMN,LAB,Laboratory processing sample,
COLUMN,LAB_COMMENT,Laboratory comment,
COLUMN,MATRIX,"Type of sample (e.g., water, sediment, tissue)",
MICX,MDL,Minimum Detection Limit,
COLUMN,NARS_COMMENT,Comment to explain NARS_COMMENT when necessary,
MICX,NARS_FLAG,"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",
DESIGN,PSTL_CODE,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing or \blank\"" values allowed.""",
COLUMN,PUBLICATION_DATE,Date of data file publication,
MICX,QA_FLAG,QA flag from laboratory,
COLUMN,RESULT,Value of associated parameter,
COLUMN,RESULT_UNITS,Result unit,
MICX,RL,Reporting Limit,
MICX,SAMPLE_ID,Field sample ID,
COLUMN,SAMPLE_TYPE,"Code identifying sample type: MICX=Microcystin, CYLSPER=Cylindrospermopsin, MICZ=Microcystin in legacy bottle type",
COLUMN,SAM_CODE,"Sample code (e.g., regular, lab duplicate, lab split)",
DESIGN,SITE_ID,"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999.  No missing or \blank\"" values allowed.""",
COLUMN,UID,Unique site visit ID,
COLUMN,UNIQUE_ID,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. No missing values allowed.,
VERIF,VISIT_NO,Number identifying which visit this is,|1|2
