PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,SAMPLE_TYPE,MATRIX,LAB,ANALYTE,SAM_CODE,BATCH_ID,ENT_1X_CCE_100ML,UNITS,NARS_FLAG,COMMENT
2026-06-03,2021885,NRS_AZ-10690,NRS23_AZ_10001,04/23/2023,1,AZ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,,CCE/100-mL,ND,
2026-06-03,2021886,NRS_AZ-10714,NRS23_AZ_10043,04/24/2023,1,AZ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1025.65042463343,CCE/100-mL,,
2026-06-03,2021888,NRS_AZ-10722,NRS23_AZ_10051,04/26/2023,1,AZ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,30,1129.06479184501,CCE/100-mL,,SS: data from modified method 1 analysis of 2nd replicate sample filter
2026-06-03,2021889,NRS_AZ-10731,NRS23_AZ_10058,04/27/2023,1,AZ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1245.32495985568,CCE/100-mL,,
2026-06-03,2021890,NRS_AZ-10721,NRS23_AZ_10050,04/30/2023,1,AZ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,300.148480086724,CCE/100-mL,,
2026-06-03,2021893,NRS_AZ-11317,NRS23_AZ_10109,05/02/2023,1,AZ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,185.695363377408,CCE/100-mL,,
2026-06-03,2021898,NRS_AZ-10730,NRS23_AZ_10057,05/03/2023,1,AZ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1502.96346914637,CCE/100-mL,,
2026-06-03,2021899,NRS_AZ-11327,NRS23_AZ_10119,05/07/2023,1,AZ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,244.579025539783,CCE/100-mL,,
2026-06-03,2021900,NRS_AZ-10690,NRS23_AZ_10001,05/08/2023,2,AZ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,,CCE/100-mL,ND,
2026-06-03,2021901,NRS_AZ-10698,NRS23_AZ_10011,05/09/2023,1,AZ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,682.77437868087,CCE/100-mL,,
2026-06-03,2021908,NRS_AZ-10729,NRS23_AZ_10053,05/11/2023,1,AZ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,158.040234062463,CCE/100-mL,,
2026-06-03,2021914,NRS_KS-10357,NRS23_KS_10161,05/22/2023,1,KS,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1534.8562423443,CCE/100-mL,,
2026-06-03,2021920,NRS_OK-10272,NRS23_OK_10104,05/30/2023,1,OK,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1692.03219798564,CCE/100-mL,,
2026-06-03,2021921,NRS_TX-10290,NRS23_TX_10023,05/30/2023,1,TX,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,684.151518743036,CCE/100-mL,,
2026-06-03,2021922,NRS_OK-10195,NRS23_OK_10060,05/31/2023,1,OK,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,231.082828931989,CCE/100-mL,ND,
2026-06-03,2021923,NRS_TX-10289,NRS23_TX_10022,05/31/2023,1,TX,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1120.84824134681,CCE/100-mL,,
2026-06-03,2021925,NRS_NJ-10080,NRS23_NJ_10011,06/01/2023,1,NJ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1193.44094476562,CCE/100-mL,,
2026-06-03,2021927,NRS_KY-10126,NRS23_KY_10019,06/01/2023,1,KY,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,4,1504.02129005096,CCE/100-mL,,
2026-06-03,2021928,NRS_TX-10288,NRS23_TX_10021,06/01/2023,1,TX,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,327.263598477836,CCE/100-mL,,
