SAMPLE_TYPE,PARAMETER,LABEL,LEGAL_VALUES
COLUMN,ANALYTE,Analyte,
COLUMN,BATCH_ID,Laboratory Batch ID,
PBIO,DATE_ANALYZED,Date sample analyzed,
VERIF,DATE_COL,Date of data collection in field,
PBIO,DATE_RECEIVED,Date sample received,
PBIO,EXTRACT,Amount in extract,
COLUMN,EXTRACT_UNITS,Units for chlorophyll a extract,
PBIO,HOLDING_TIME,Holding time,
COLUMN,HOLDING_TIME_UNITS,Units of holding time,
COLUMN,LAB,Laboratory processing sample,
PBIO,LAB_SAMPLE_ID,Laboratory Sample ID,
COLUMN,MATRIX,"Type of sample (e.g., water, sediment, tissue)",
COLUMN,NARS_COMMENT,Comment to explain NARS_COMMENT when necessary,
PBIO,NARS_FLAG,"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",
DESIGN,PSTL_CODE,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing or \blank\"" values allowed.""",
COLUMN,PUBLICATION_DATE,Date of data file publication,
PBIO,QA_FLAG,QA flag from laboratory,
COLUMN,RESULT,Value of associated parameter,
COLUMN,RESULT_UNITS,Result unit,
PBIO,RESULT_VOL,"Result by volume, before correcting for area sampled",
COLUMN,RESULT_VOL_UNITS,Units for result by volume (ug/L),
PBIO,RL,"Reporting Limit, units varying",
COLUMN,RL_UNITS,Units for reporting limit,
PBIO,SAMPLE_ID,Periphyton Biomass (PBIO) sample id,
COLUMN,SAMPLE_TYPE,Code identifying sample type: PBIO=Periphyton biomass,
COLUMN,SAM_CODE,"Sample code (e.g., regular, lab duplicate, lab split)",
DESIGN,SITE_ID,"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999.  No missing or \blank\"" values allowed.""",
COLUMN,UID,Unique site visit ID,
COLUMN,UNIQUE_ID,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. No missing values allowed.,
VERIF,VISIT_NO,Number identifying which visit this is,|1|2
PBIO,VOLUME_FILTERED,Volume of water filtered,
COLUMN,VOLUME_FILTERED_UNITS,Units for volume filtered for chlorophyll a,
