SAMPLE_TYPE,VARIABLE,LABEL,LEGAL_VALUES,RANGE_LOW,RANGE_HIGH
PCHL,DATE_ANALYZED,Date sample analyzed,,,
VERIF,DATE_COL,Date of data collection in field,,,
PCHL,DATE_RECEIVED,Date sample received,,,
PCHL,DILUTION_FACTOR,Dilution factor,,,
PCHL,EXTRACT,Amount in extract by volume,,,
PCHL,HOLDING_TIME,Holding time,,,
PCHL,LAB_SAMPLE_ID,Laboratory Sample ID,,,
PCHL,MDL,Minimum Detection Limit,,,
PCHL,NARS_FLAG,"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",,,
DESIGN,PSTL_CODE,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing or \blank\"" values allowed.""",,,
PCHL,QA_FLAG,QA flag from laboratory,,,
PCHL,RESULT_VOL,"Result by volume, before correcting for area sampled",,,
PCHL,RL,"Reporting Limit, units varying",,,
PCHL,SAMPLE_ID,Periphyton Chlorophyll (PCHL) sample id,,,
PCHL,SHIP_FLAG,Shipping flag,,,
DESIGN,SITE_ID,"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999.  No missing or \blank\"" values allowed.""",,,
VERIF,VISIT_NO,Number identifying which visit this is,|1|2,,
PCHL,VOLUME_ADJUST,Volume adjustment for analysis,,,
PCHL,VOLUME_FILTERED,Volume filtered,,,
COLUMN,UID,Unique site visit ID,,,
COLUMN,PUBLICATION_DATE,Date of data file publication,,,
COLUMN,UNIQUE_ID,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. No missing values allowed.,,,
COLUMN,RESULT_UNITS,Result unit,,,
COLUMN,RESULT_VOL_UNITS,Units for result by volume (ug/L),,,
COLUMN,BATCH_ID,Laboratory Batch ID,,,
COLUMN,LAB,Laboratory processing sample,,,
COLUMN,MATRIX,"Type of sample (e.g., water, sediment, tissue)",,,
COLUMN,RESULT,Value of associated parameter,,,
COLUMN,SAM_CODE,"Sample code (e.g., regular, lab duplicate, lab split)",,,
