PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,PSTL_CODE,VISIT_NO,DATE_COL,BANGMODE,BFWD_RAT,C1TM100,C1WM100,C2TM100,C2WM100,C4TM100,C4WM100,CONFEATURES,CONPATTERN,CONPERCENT,CONSTRAINT,CVDTH,CVWIDTH,CVWXD,LDCBF_G08,LDMB_BW5,LRBS_BW5,LRBS_G08,LRBS_TST,LRBS_USE,LSUB_DMM,LSUB_DMM_NOR,LSUBD_SD,LTEST,LWDEQVOL_MSQ,LWDEQVOLM100,MEDBK_A,MEDBKUN,PCAN_C,PCAN_D,PCAN_E,PCAN_M,PCAN_N,PCT_BDRK,PCT_BH,PCT_BIGR,PCT_BL,PCT_CB,PCT_DR,PCT_FA,PCT_FAST,PCT_FN,PCT_GC,PCT_GF,PCT_GL,PCT_GR,PCT_HP,PCT_OM,PCT_ORG,PCT_OT,PCT_POOL,PCT_RC,PCT_RR,PCT_RS,PCT_SA,PCT_SAFN,PCT_SB,PCT_SFG,PCT_SFGF,PCT_SIDE,PCT_SLOW,PCT_WD,PCT_XB,PCTCLINOMETER,PROTOCOL,QR1,QRDIST1,QRVEG1,QRVEG2,RDIST1,REACHLEN,REALM,RP100,RP100_CM,RPGT50,RPGT75,RPMXDEP,RPMXDEP_CM,RPRAT,RPXDEP,RPXDEP_CM,SDDEPTH,SDDEPTH_CM,SDINC_H,SDWD_RAT,SDWIDTH,SDWXD,SINU,SURVEY_YRS,V1W_MSQ,V1WM100,V2W_MSQ,V2WM100,V4W_MSQ,V4WM100,W1_HAG,W1_HALL,W1_HNOAG,W1H_BLDG,W1H_CROP,W1H_LDFL,W1H_LOG,W1H_MINE,W1H_PARK,W1H_PIPE,W1H_PSTR,W1H_PVMT,W1H_ROAD,W1H_WALL,XBEARING,XBKA,XBKF_H,XBKF_W,XC,XCDENBK,XCDENMID,XCEMBED,XCL,XCM,XCMG,XCMGW,XCMW,XCS,XDEPTH,XDEPTH_CM,XEMBED,XFC_ALG,XFC_ALL,XFC_AQM,XFC_BIG,XFC_BRS,XFC_HUM,XFC_LVT,XFC_LWD,XFC_NAT,XFC_OHV,XFC_RCK,XFC_UCB,XG,XGB,XGH,XGVEG,XGW,XINC_H,XM,XMH,XMW,XPCAN,XPCM,XPCMG,XPMGW,XPMID,XSLOPE,XSLOPE_FIELD,XSLOPE_MAP,XSLOPE_USE,XUN,XWD_RAT,XWIDTH,XWXD,LITSB1_FN,LITSB1_SF,LITSB1_SFGF,LITSB12_FN,LITSB12_SF,PCT_DRS,PCT_OVRB,XSHOR2VG
6/2/2026,2021885,NRS_AZ-10690,NRS23_AZ_10001,AZ,1,4/23/2023,,7.610638395,3.333333333,3.333333333,2,2,0,0,HILLSLOPE,SINGLE,100,CON_VSHAPED,0.291036644,0.601405947,0.610028389,2.952767794,2.64134753,-0.757442329,-1.068862593,-0.281432906,-1.068862593,1.883905201,1.808403392,0.838972512,2.165338107,0.001544431,1.138666667,27.5,0,0.272727273,0.272727273,0,0.227272727,0.227272727,3.80952381,3.80952381,82.85714286,14.28571429,37.14285714,0,0,100,0,27.61904762,12.38095238,0,40,0,0,1.904761905,0,0,0,3.80952381,0,2.857142857,2.857142857,13.33333333,42.85714286,15.23809524,0,0,1.904761905,0.952380952,0,WADEABLE,0.622594193,1,0.372045455,0.648663102,0,150,WADEABLE,3.680512994,3.680512994,0,0,24.62125,24.62125,0.135362743,7.287415727,7.287415727,7.91328636,7.91328636,0.052223297,12.61560903,2.692007571,0.743563603,1.276960243,2324,0.001649322,1.216,0.001544431,1.138666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.5659558,35.93181818,0.581818182,7.372727273,0.063636364,60.96256684,16.44385027,0,0.029545455,0.393181818,0.748863636,0.604545455,0.375,0.034090909,27.19,27.19,2.181818182,0,0.172727273,0,0.109090909,0,0,0.022727273,0,0.172727273,0.040909091,0.104545455,0.004545455,0.355681818,0.534090909,0.126136364,0.355681819,0.229545455,0.854545455,0.329545455,0.018181818,0.311363636,0.772727273,0.772727273,0.772727273,0.863636364,0.863636364,7.856666667,7.856666667,7.21,7.856666667,0.004545455,15.51456596,4.476190476,1.2189,,,,,,,,
6/2/2026,2021886,NRS_AZ-10714,NRS23_AZ_10043,AZ,1,4/24/2023,,7.548372596,0.666666667,0.666666667,0,0,0,0,HUMAN,SINGLE,100,UNC_BROAD,0.216725802,0.269805559,0.434059762,0.076907278,0.306973823,-2.402179007,-2.172112462,-2.275602337,-2.172112462,-2.095205184,-2.095205184,0.161073771,0.180397153,0,0,19.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99.04761905,0,0,100,0,0,0,0,0,0,0,0,0,0.952380952,100,0,100,100,0,100,0,0,0,WADEABLE,0.483073121,0.846150592,0.187954545,0.708823529,0.153849408,150,WADEABLE,36.21338384,36.21338384,1,1,89.75,89.75,0.327485837,37.73815789,37.73815789,23.96553923,23.96553923,0.30777796,2.804461296,2.835656426,5.265030683,1.00432984,2324,2.93E-05,0.038666667,0,0,0,0,0.060609091,0.181822727,0.121213636,0,0.060609091,0.121213636,0,0,0,0,0,0,0,0,203.8069921,19.36363636,0.736363636,13.19090909,0,67.64705882,4.812834225,100,0,0.292045455,0.692045455,0.195454545,0.088636364,0,110.58,110.58,100,0.040909091,0.193181818,0.013636364,0,0.004545455,0,0,0,0.138636364,0.134090909,0,0,0.4,0.481818182,0.293181818,0.4,0.106818182,2.254545455,0.292045455,0.203409091,0.088636364,0,0,0,0.636363636,0.954545455,0.02,0.02,,0.02,0,9.894218469,10.51,12.12973684,,,,,,,,
6/2/2026,2021888,NRS_AZ-10722,NRS23_AZ_10051,AZ,1,4/26/2023,,19.05505935,0,0,0,0,0,0,HUMAN,SINGLE,100,CON_BROAD,0.150993995,0.157590285,0.214873907,-0.883670082,-0.354525227,-1.455731797,-0.926586943,-1.52885143,-0.926586943,-1.810257024,-1.973869731,1.09047467,-0.281405594,0,0,25,0,0,0.045454545,0,0,0.954545455,0,0,2.857142857,0,0,0,0,0,90.47619048,0,1.904761905,100,1.904761905,0,0,0,0,0,2.857142857,0,0,4.761904762,95.23809524,0,97.14285714,97.14285714,0,100,0,0,0,WADEABLE,0.3974121,0.653456936,0.117897727,0.814705882,0.346543064,240,WADEABLE,7.099990805,7.099990805,0,0,24.722,24.722,0.154953968,7.809989885,7.809989885,6.918544834,6.918544834,0.33601948,4.447844975,1.28398561,0.785353388,1.012802676,2324,0,0,0,0,0,0,0.030304545,0.530322727,0.500018182,0,0,0.212127273,0,0,0.045454545,0.030304545,0.030304545,0,0.212131818,0,194.6027348,23.63636364,0,8.190909091,0.026136364,79.41176471,0,100,0.026136364,0.131818182,0.623863636,0.039772727,0.030681818,0,45.82,45.82,99.27272727,0.009090909,0.104545455,0.045454545,0,0,0,0,0,0.05,0.05,0,0,0.492045455,0.35,0.482954545,0.492045454,0.009090909,1.709090909,0.105681818,0.101136364,0.004545455,0.045454545,0.045454545,0.045454545,0.045454545,1,0.016666667,0.016666667,,0.016666667,0,18.45590692,8.147619048,3.65495,,,,,,,,
6/2/2026,2021889,NRS_AZ-10731,NRS23_AZ_10058,AZ,1,4/27/2023,,21.36726783,1.875,1,1.625,0.875,0.125,0.125,HILLSLOPE,SINGLE,100,UNC_NARROW,0.264509938,0.175576397,0.328922868,1.933892391,1.36995618,-1.811645944,-2.375582155,-1.059581441,-2.375582155,-0.441689764,-0.441689764,0.191818952,0.617891677,0.000382121,0.753125,18.5,0,0,0.545454545,0,0.272727273,0.181818182,0,0,0.952380952,0,0,0,0,0,0,0.952380952,0,100,0.952380952,0,0,0,0,0,0,0,0,99.04761905,99.04761905,0,100,99.04761905,0,100,0,0,0,WADEABLE,0.637892282,0.749990625,0.443125,0.781016043,0.250009375,800,WADEABLE,1.929636645,1.929636645,0,0,16.565,16.565,0.120677714,3.979875579,3.979875579,4.229513906,4.229513906,0.148935618,31.2015419,2.750696881,0.850742553,1.00541729,2324,0.000385799,0.760375,0.000382121,0.753125,0.000184623,0.363875,0,0.33335,0.33335,0,0,0,0,0,0,0,0,0,0.33335,0,134.7003161,18.72727273,0.763636364,19.70909091,0.086363636,75.6684492,23.93048128,100,0.052272727,0.425,1.0625,0.7625,0.35,0.034090909,15.99,15.99,100,0,0.090909091,0,0.013636364,0.018181818,0,0.031818182,0.013636364,0.090909091,0.027272727,0,0,0.6375,0.363636364,0.225,0.6375,0.4125,1.027272727,0.338636364,0.075,0.263636364,0.818181818,0.818181818,0.818181818,1,1,0.37875,0.37875,,0.37875,0,100.6744747,15.66666667,2.58645,,,,,,,,
6/2/2026,2021890,NRS_AZ-10721,NRS23_AZ_10050,AZ,1,4/30/2023,,6.851860276,0,0,0,0,0,0,HUMAN,SINGLE,100,CON_BROAD,0.201091161,0.051710945,0.256792181,-0.106706704,0.100250687,-0.706299737,-0.499342345,-0.447005954,-0.499342345,-0.606049049,-0.606049049,0.504653181,-0.159043096,0,0,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.523809524,0,0.952380952,100,0.952380952,0,0,0,0,0,0,0,0,89.52380952,99.04761905,0,100,100,0.970873786,100,0,0,0,WADEABLE,0.14883453,0.321946665,0.1,0.102406417,0.678053335,150,WADEABLE,10.10300009,10.10300009,0,0,40.815,40.815,0.465790691,10.2050506,10.2050506,4.361667275,4.361667275,0.064568498,29.54888467,0.14516001,0.148868847,1,2324,0,0,0,0,0,0,0.439409091,2.106104545,1.666695455,0.151522727,0,0.181822727,0.030304545,0,0,0,0.439409091,0.242436364,1,0.060609091,260,39.54545455,0.278181818,3.363636364,0,0.267379679,0,100,0,0,0.045454545,0,0,0,21.69,21.69,100,0,0.022727273,0,0,0.013636364,0,0,0,0.022727273,0.009090909,0,0,0.045454545,0.875,0.045454545,0.045454545,0,0.920909091,0,0,0,0,0,0,0,0,0.046666667,0.046666667,,0.046666667,0,19.85303679,2.807142857,0.579725,,,,,,,,
6/2/2026,2021893,NRS_AZ-11317,NRS23_AZ_10109,AZ,1,5/2/2023,vst,6.927166697,0,0,0,0,0,0,BEDROCK,SINGLE,100,CON_VSHAPED,0.597466806,0.300111373,0.505515642,2.231752671,2.072012985,-0.339323399,-0.499063085,-0.160549183,-0.499063085,1.732689586,,1.168884215,1.893238769,0,0,,,0.045454545,0,0.045454545,0.045454545,0.863636364,,5,,17,42,0,0,37,0,,,38,21,,,,0,25,,,,15,15,,36,,0,63,,,0,BOATABLE,0.41723881,0.95652174,0.177727273,0.427272727,0.043478261,429.804566,BOATABLE,70.05594434,70.05594434,8,7,2.790339725,279.0339725,0.595207683,0.808403022,80.84030217,0.703218431,70.32184309,0.655466524,7.299895333,3.320323095,5.86094835,,2324,0,0,0,0,0,0,0,0.045454545,0.045454545,0,0,0.045454545,0,0,0,0,0,0,0,0,,,1.3,15.76363636,0.009090909,36.36363636,,,0.006818182,0.210227273,0.559090909,0.172727273,0.095454545,0.002272727,1.177,117.7,,0.004545455,0.572727273,0,0.540909091,0,0,0.013636364,0.004545455,0.568181818,0.013636364,0.522727273,0.013636364,0.348863636,0.6375,0.271590909,0.348863636,0.077272727,5.818181818,0.201136364,0.114772727,0.086363636,0.136363636,0.136363636,0.136363636,1,1,0.97,,0.97,0.97,,12.62331423,11.06363636,11.594,0,0,0,0,0,0,0,3.436363636
6/2/2026,2021898,NRS_AZ-10730,NRS23_AZ_10057,AZ,1,5/3/2023,,9.769954471,0.5,0,0,0,0,0,TERRACE,SINGLE,80,UNC_NARROW,0.254098748,0.390223829,0.517732289,2.162493782,1.90371183,-1.371987364,-1.630769316,-0.671122541,-1.630769316,0.531724466,0.531724466,1.067688876,1.202847007,0,0,12,0,0,1,0,0,0,0,0,40.95238095,1.904761905,4.761904762,0,0,11,1.904761905,34.28571429,13.33333333,89,47.61904762,0,0,0,0,0,0,0,0,43.80952381,45.71428571,0,93.33333334,59.04761905,8.910891089,89,0,1.904761905,0,WADEABLE,0.560541743,0.628571429,0.311704545,0.898930481,0.371428572,200,WADEABLE,10.3883076,10.3883076,0,0,32.71625,32.71625,0.378031572,12.09932297,12.09932297,6.98263358,6.98263358,0.142062726,9.782681352,2.440672677,0.817203437,1.020440847,2324,0,0,0,0,0,0,0,0.590909091,0.590909091,0,0,0,0,0,0,0,0,0.045454545,0,0.545454545,277.3998645,14.45454545,1.209090909,14.64545455,0.140909091,88.77005348,68.18181818,53.60606061,0.05,0.343181818,0.985227273,0.470454545,0.290909091,0.090909091,27.48,27.48,64.61818182,0.004545455,0.127272727,0.027272727,0.036363636,0.027272727,0,0.013636364,0.004545455,0.095454545,0.018181818,0.031818182,0,0.642045455,0.2875,0.4625,0.642045455,0.179545455,1.672727273,0.202272727,0.052272727,0.15,1,1,1,1,1,0.8475,0.8475,,0.8475,0,21.14287909,6.254545455,1.578428571,,,,,,,,
6/2/2026,2021899,NRS_AZ-11327,NRS23_AZ_10119,AZ,1,5/7/2023,,11.05508233,2.5,0.357142857,1.428571429,0,0,0,TERRACE,SINGLE,80,UNC_NARROW,0.49031169,0.133311308,0.424603277,1.905843883,1.799558324,-1.208048263,-1.314333821,-0.826428579,-1.314333821,0.591510061,0.498537564,1.548507854,1.417938641,0,0,22.5,0,0,0.772727273,0,0,0.227272727,2.857142857,2.857142857,48.57142857,0,18.0952381,0,0,91,17.14285714,27.61904762,17.14285714,9,44.76190476,0,0,0,0,0,0,2.857142857,0,17.14285714,34.28571429,0,79.04761905,51.42857143,1.98019802,9,0,0,0,WADEABLE,0.623661384,1,0.285113636,0.850802139,0,280,WADEABLE,26.69167397,26.69167397,3,2,107.768,107.768,0.482670415,30.37328417,30.37328417,27.11423645,27.11423645,0.256195948,25.27075748,1.037923752,1.532987671,1.210362869,2324,1.33E-05,0.020714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.0476561,27,1.045454545,15.55454545,0.077272727,83.42245989,53.07486631,22.57575758,0.025,0.263636364,0.790909091,0.411363636,0.206818182,0.052272727,55.3,55.3,45,0.004545455,0.122727273,0,0.018181818,0.036363636,0,0.036363636,0.004545455,0.118181818,0.027272727,0.004545455,0.009090909,0.527272727,0.454545455,0.322727273,0.527272728,0.204545455,1.581818182,0.186363636,0.056818182,0.129545455,0.772727273,0.772727273,0.772727273,0.863636364,1,0.691071429,0.691071429,,0.691071429,0,24.21358307,7.785714286,3.6104,,,,,,,,
6/2/2026,2021900,NRS_AZ-10690,NRS23_AZ_10001,AZ,2,5/8/2023,,8.204786452,0.666666667,0,0,0,0,0,BEDROCK,SINGLE,80,CON_VSHAPED,0.285771338,0.523533084,0.495906333,3.024834417,2.725260335,-0.843088568,-1.14266265,-0.190540724,-1.14266265,1.882171767,1.845134079,0.97144471,2.072712491,0,0,37.5,0,0.136363636,0.227272727,0.090909091,0.136363636,0.409090909,1.904761905,1.904761905,90.47619048,15.23809524,43.80952381,0,0,99,2.857142857,29.52380952,2.857142857,0,32.38095238,0,0,1.904761905,0,1,0,1.904761905,0,1.904761905,4.761904762,12.38095238,37.14285714,7.619047619,0,1,1.904761905,2.857142857,0,WADEABLE,0.59351372,0.95652174,0.314772727,0.694385027,0.043478261,150,WADEABLE,2.208257576,2.208257576,0,0,18.91375,18.91375,0.0991584,4.858166667,4.858166667,6.364127687,6.364127687,0.068755165,16.08811815,2.670018727,0.512097675,1.141555772,2324,0,0,0,0,0,0,0,0.045454545,0.045454545,0,0,0.045454545,0,0,0,0,0,0,0,0,330.0062074,41.81818182,0.8,8.927272727,0.05,66.04278075,12.03208556,7.272727273,0.006818182,0.301136364,0.7375,0.477272727,0.230681818,0.043181818,22.27,22.27,14.36363636,0,0.140909091,0,0.036363636,0.045454545,0,0.036363636,0.004545455,0.140909091,0.022727273,0.031818182,0,0.436363636,0.567045455,0.189772727,0.436363636,0.246590909,1.054545455,0.251136364,0.070454545,0.180681818,0.590909091,0.590909091,0.590909091,0.863636364,1,7.75,7.75,7.21,7.75,0,25.23738326,5.1,1.03265,,,,,,,,
6/2/2026,2021901,NRS_AZ-10698,NRS23_AZ_10011,AZ,1,5/9/2023,,14.25446591,2.34375,1.875,1.09375,0.78125,0,0,TERRACE,SINGLE,50,UNC_BROAD,0.432801077,0.298766763,0.635168854,1.427159847,1.348462073,-0.804080939,-0.882778713,-0.625221396,-0.882778713,0.544381135,0.513233621,1.794247047,1.16960253,0.0000734,0.1421875,30,0,0,0.954545455,0,0,0.045454545,0.952380952,0.952380952,47.61904762,7.619047619,24.76190476,0,0,16,24.76190476,14.28571429,15.23809524,84,29.52380953,0,0,0.952380952,0,0,0,0.952380952,0,11.42857143,36.19047619,7.619047619,65.71428572,51.42857143,22.77227723,84,0.952380952,0,0,WADEABLE,0.700829506,0.846153846,0.457443182,0.889304813,0.153846154,640,WADEABLE,30.23165848,30.23165848,4,2,176.5516342,176.5516342,0.406175715,33.62847404,33.62847404,32.21338419,32.21338419,0.119087439,13.09565743,3.794337887,6.327964978,1.045877756,2324,0.000106191,0.205625,7.34E-05,0.1421875,0,0,0,0.181818182,0.181818182,0,0,0.181818182,0,0,0,0,0,0,0,0,65.71022651,30.45454545,0.681818182,19.36363636,0.102272727,87.70053476,25.93582888,39.6969697,0.018181818,0.461363636,1.102272727,0.794318182,0.411363636,0.084090909,74.43,74.43,56.81818182,0.004545455,0.204545455,0.031818182,0.054545455,0.045454545,0,0.036363636,0,0.168181818,0.031818182,0.045454545,0.009090909,0.640909091,0.311363636,0.257954545,0.64090909,0.382954545,1.727272727,0.359090909,0.05,0.309090909,0.954545455,0.954545455,0.954545455,0.954545455,1,0.28984375,0.28984375,,0.28984375,0,19.91091189,12.7,9.96265,,,,,,,,
