SAMPLE_TYPE,COLUMN_NAME,LABEL,LEGAL_VALUES
PHab boatable: bank morphology,BANGMODE,Mode of bank slope category (Zar 1984),
PHab boatable: channel morphology,BFWD_RAT,Bankfull Width/Depth Ratio,
PHab wadeable: channel morphology,BFWD_RAT,Bankfull Width/Depth Ratio,
PHab wadeable: large woody debris,C1TM100,LWD in/above Bkfl chan(#/100m-all sizes),
PHab boatable: large woody debris,C1TM100,LWD in/above wet chan(#/100m-all sizes),
PHab boatable: large woody debris,C1WM100,Woody Debris pieces/100m,
PHab wadeable: large woody debris,C1WM100,Woody Debris pieces/100m,
PHab wadeable: large woody debris,C2TM100,LWD in/above Bkfl chan (#/100m-SMLX),
PHab boatable: large woody debris,C2TM100,LWD in/above wetted chan(#/100m-SMLX),
PHab wadeable: large woody debris,C2WM100,LWD in Bkf chnl (#/100m-SMLX),
PHab boatable: large woody debris,C2WM100,LWD in wetted chnl (#/100m-SMLX),
PHab wadeable: large woody debris,C4TM100,LWD in/above Bkfl chan (#/100m-LX),
PHab boatable: large woody debris,C4TM100,LWD in/above wetted chan (#/100m-LX),
PHab wadeable: large woody debris,C4WM100,LWD in Bkf chnl (#/100m-LX),
PHab boatable: large woody debris,C4WM100,LWD in wetted chnl (#/100m-LX),
PHab  boatable: channel characteristics,CONFEATURES,Constraining features,
PHab wadeable: channel characteristics,CONFEATURES,Constraining features,
PHab  boatable: channel characteristics,CONPATTERN,Channel pattern,
PHab wadeable: channel characteristics,CONPATTERN,Channel pattern,
PHab  boatable: channel characteristics,CONPERCENT,Percent of channel length in contact with constraining features,
PHab wadeable: channel characteristics,CONPERCENT,Percent of channel length in contact with constraining features,
PHab  boatable: channel characteristics,CONSTRAINT,Channel constraint type,
PHab wadeable: channel characteristics,CONSTRAINT,Channel constraint type,
VERIF,DATE_COL,Date of data collection in field,
PHab boatable: substrate characterization,LDCBF_G08,Log10(Streambed Critical Diameter-at Bankfull -- mm)(PRK 2008),
