SAMPLE_TYPE,PARAMETER,LABEL,LEGAL_VALUES
COLUMN,AMMONIA_N_BATCH_ID,Laboratory Batch ID for Ammonia as N,
COLUMN,AMMONIA_N_DATE_ANALYZED,Date sample analyzed for analyte: ammonia,
COLUMN,AMMONIA_N_DILUTION_FACTOR,Factor used to correct results based on dilution of sample by lab: Ammonia as N,
COLUMN,AMMONIA_N_HOLDING_TIME,Time from sampling to analysis (days): ammonia,
COLUMN,AMMONIA_N_MDL,Method detection limit of ammonia,
COLUMN,AMMONIA_N_NARS_FLAG,"Flag assigned by NARS: ammonia. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",
COLUMN,AMMONIA_N_QA_FLAG,QA flag assigned by lab: ammonia,
COLUMN,AMMONIA_N_RESULT,Analyte value: ammonia,
COLUMN,AMMONIA_N_RL,Reporting limit of ammonia,
COLUMN,AMMONIA_N_UNITS,Units of measurement: ammonia,
COLUMN,ANC_BATCH_ID,Laboratory Batch ID for Acid Neutralizing Capacity,
COLUMN,ANC_DATE_ANALYZED,Date sample analyzed for analyte: acid neutralizing capacity,
COLUMN,ANC_HOLDING_TIME,Time from sampling to analysis (days): acid neutralizing capacity,
COLUMN,ANC_MDL,Method Detection Limit: Acid Neutralizing Capacity,
COLUMN,ANC_NARS_FLAG,"NARS flag translated from QA flag by lab: Acid Neutralizing Capacity. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",
COLUMN,ANC_QA_FLAG,QA flag assigned by lab: acid neutralizing capacity,
COLUMN,ANC_RESULT,Analyte value: acid neutralizing capacity,
COLUMN,ANC_RL,Method Reporting Limit: Acid Neutralizing Capacity,
COLUMN,ANC_UNITS,Units of measurement: acid neutralizing capacity,
COLUMN,CALCIUM_BATCH_ID,Laboratory Batch ID for Calcium,
COLUMN,CALCIUM_DATE_ANALYZED,Date sample analyzed for analyte: calcium,
COLUMN,CALCIUM_DILUTION_FACTOR,Factor used to correct results based on dilution of sample by lab: Calcium,
COLUMN,CALCIUM_HOLDING_TIME,Time from sampling to analysis (days): calcium,
COLUMN,CALCIUM_MDL,Method detection limit of calcium,
COLUMN,CALCIUM_NARS_FLAG,"NARS flag translated from QA flag by lab: Calcium. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",
COLUMN,CALCIUM_QA_FLAG,QA flag assigned by lab: calcium,
COLUMN,CALCIUM_RESULT,Analyte value: calcium,
COLUMN,CALCIUM_RL,Method Reporting Limit: Calcium,
COLUMN,CALCIUM_UNITS,Units of measurement: calcium,
COLUMN,CHEM_DATE_RECEIVED,Water chemistry date received in laboratory,
COLUMN,CHEM_LAB_SAMPLE_ID,Water chemistry lab sample ID,
COLUMN,CHEM_SAMPLE_ID,Sample identification number: Water chemistry sample,
COLUMN,CHLA_BATCH_ID,Lab batch id - Chlorophyll-a as ug/L in water sample,
COLUMN,CHLA_DATE_ANALYZED,Date sample analyzed for analyte: chlorophyll-a,
COLUMN,CHLA_DILUTION_FACTOR,Factor used to correct results based on dilution of sample by lab: Chlorophyll-a,
COLUMN,CHLA_EXTRACT,chlorophyll-a amount in extract by volume (ug/L),
COLUMN,CHLA_EXTRACT_UNITS,Chlorophyll a: Extract units,
COLUMN,CHLA_HOLDING_TIME,Time from sampling to analysis (days): chlorophyll-a,
COLUMN,CHLA_MDL,Method detection limit of chlorophyll-a,
COLUMN,CHLA_NARS_FLAG,"NARS flag translated from QA flag by lab: Chlorophyll a. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",
COLUMN,CHLA_QA_FLAG,QA flag assigned by lab: Chlorophyll a,
COLUMN,CHLA_RESULT,Analyte value: chlorophyll-a,
COLUMN,CHLA_RL,Method Reporting Limit: Chlorophyll a,
COLUMN,CHLA_UNITS,Units - Chlorophyll-a as ug/L in water sample,
COLUMN,CHLA_VOLUME_ADJUST,--,
COLUMN,CHLA_VOLUME_FILTERED,Volume filtered for chlorophyll-a sample,
COLUMN,CHLORIDE_BATCH_ID,Laboratory Batch ID for Chloride,
COLUMN,CHLORIDE_DATE_ANALYZED,Date sample analyzed for analyte: chloride,
COLUMN,CHLORIDE_DILUTION_FACTOR,Factor used to correct results based on dilution of sample by lab: Chloride,
COLUMN,CHLORIDE_HOLDING_TIME,Time from sampling to analysis (days): chloride,
COLUMN,CHLORIDE_MDL,Method detection limit of chloride,
COLUMN,CHLORIDE_NARS_FLAG,"NARS flag translated from QA flag by lab: Chloride. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",
COLUMN,CHLORIDE_QA_FLAG,QA flag assigned by lab: chloride,
COLUMN,CHLORIDE_RESULT,Analyte value: chloride,
COLUMN,CHLORIDE_RL,Reporting limit of analyte: chloride,
COLUMN,CHLORIDE_UNITS,Units of measurement: chloride,
COLUMN,COLOR_BATCH_ID,Laboratory Batch ID for Color,
COLUMN,COLOR_DATE_ANALYZED,Date sample analyzed for analyte: color,
COLUMN,COLOR_DILUTION_FACTOR,Factor used to correct results based on dilution of sample by lab: Color,
COLUMN,COLOR_HOLDING_TIME,Time from sampling to analysis (days): color,
COLUMN,COLOR_MDL,Method Detection Limit: Color,
COLUMN,COLOR_NARS_FLAG,"NARS flag translated from QA flag by lab: Color. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",
COLUMN,COLOR_QA_FLAG,QA flag assigned by lab: color,
COLUMN,COLOR_RESULT,Analyte value: color,
COLUMN,COLOR_RL,Method Reporting Limit: Color,
COLUMN,COLOR_UNITS,Units of measurement: color,
COLUMN,COND_BATCH_ID,Laboratory Batch ID for Conductivity,
COLUMN,COND_DATE_ANALYZED,Date sample analyzed for analyte: conductivity,
COLUMN,COND_HOLDING_TIME,Time from sampling to analysis (days): conductivity,
COLUMN,COND_MDL,Method Detection Limit: Conductivity,
COLUMN,COND_NARS_FLAG,"NARS flag translated from QA flag by lab: Conductivity. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",
COLUMN,COND_QA_FLAG,QA flag assigned by lab: conductivity,
COLUMN,COND_RESULT,Analyte value: conductivity,
COLUMN,COND_RL,Method Reporting Limit: Conductivity,
COLUMN,COND_UNITS,Units of measurement: conductivity,
VERIF,DATE_COL,Date of data collection in field,
COLUMN,DOC_BATCH_ID,Laboratory Batch ID for Dissolved Organic Carbon,
COLUMN,DOC_DATE_ANALYZED,Date sample analyzed for analyte: dissolved organic carbon,
COLUMN,DOC_DILUTION_FACTOR,Factor used to correct results based on dilution of sample by lab: Dissolved Organic Carbon,
COLUMN,DOC_HOLDING_TIME,Time from sampling to analysis (days): dissolved organic carbon,
COLUMN,DOC_MDL,Method detection limit of dissolved organic carbon,
COLUMN,DOC_NARS_COMMENT,Comment to explain NARS_FLAG for dissolved organic carbon,
COLUMN,DOC_NARS_FLAG,"NARS flag translated from QA flag by lab: Dissolved Organic Carbon. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",
COLUMN,DOC_QA_FLAG,QA flag assigned by lab: dissolved organic carbon,
COLUMN,DOC_RESULT,Analyte value: dissolved organic carbon,
COLUMN,DOC_RL,Method Reporting Limit: Dissolved Organic Carbon,
COLUMN,DOC_UNITS,Units of measurement: dissolved organic carbon,
COLUMN,LAB,Laboratory processing sample,
COLUMN,MAGNESIUM_BATCH_ID,Laboratory Batch ID for Magnesium,
